,Feature,R-squared,Non-Null Values,Unique Ages Amount,Note
0,Predicted maximal heart rate (per minute),0.9999972099546571,14417,38,Too few unique ages
1,PCB196 & 203 (ng/g),0.7620287171550773,1878,74,Not enough data
2,PCB209 (ng/g),0.7506105157305636,1854,74,Not enough data
3,Recumbent Length (cm),0.7477010672496875,10753,3,Too few unique ages
4,PCB196 & 203 Lipid Adj (ng/g),0.7419790219758305,1878,74,Not enough data
5,PCB194 (ng/g),0.7301311742212285,4114,74,Not enough data
6,PCB199 (ng/g),0.7288369337141903,4153,74,Not enough data
7,PCB180 (ng/g),0.7217671864887989,6122,74,Not enough data
8,PCB209 Lipid Adj (ng/g),0.7137159569971565,1854,74,Not enough data
9,PCB138 & 158 (ng/g),0.7029714530841791,1896,74,Not enough data
10,PCB170 (ng/g),0.6925605385336777,5987,74,Not enough data
11,PCB180 Lipid Adj (ng/g),0.6860901141239699,6122,74,Not enough data
12,Oxychlordane (ng/g),0.6860355224580843,5888,74,Not enough data
13,PCB194 Lipid Adj (ng/g),0.6673218369500911,4114,74,Not enough data
14,"Bronchodilator 2nd Test Spirometry, Forced Expiratory Time (seconds)",0.6651658938193252,1564,74,Not enough data
15,PCB199 Lipid Adj (ng/g),0.6648696738251143,4153,74,Not enough data
16,Trans-nonachlor (ng/g),0.6646184066102986,6174,74,Not enough data
17,PCB138 & 158 Lipid Adj (ng/g),0.664009629718961,1896,74,Not enough data
18,PCB187 (ng/g),0.663203664882673,6126,74,Not enough data
19,PCB196 (ng/g),0.6627472388974429,2299,74,Not enough data
20,Oxychlordane Lipid Adj (ng/g),0.6625394224656552,5888,74,Not enough data
21,PCB153 (ng/g),0.6568045748362552,6128,74,Not enough data
22,Trans-nonachlor Lipid Adj (ng/g),0.6408333030706983,6174,74,Not enough data
23,"3,3',4,4',5,5'-hexachlorobiphenyl (fg/g)",0.6335789495749244,4977,74,Not enough data
24,PCB170 Lipid Adj (ng/g),0.6239035208788711,5987,74,Not enough data
25,PCB156 (ng/g),0.6225724660697229,6083,74,Not enough data
26,PCB74 (ng/g),0.618423965146199,6129,74,Not enough data
27,PCB138 (ng/g),0.6155949206474399,4223,74,Not enough data
28,Amputations: Lower Left Extremity?,0.6154297356424704,3,3,Too few unique ages; Not enough data
29,PCB196 Lipid Adj (ng/g),0.6092032893970714,2299,74,Not enough data
30,PCB153 Lipid Adj (ng/g),0.5966669809814089,6128,74,Not enough data
31,PCB187 Lipid Adj (ng/g),0.5932415558647731,6126,74,Not enough data
32,"3,3',4,4',5,5'-hexachlorobiphenyl Lipid Adj (pg/g)",0.5826257769541808,4977,74,Not enough data
