,Feature,R-squared,non null values
267,Biiliac breadth (cm) (2 years and over),0.4988700460354373,26379.0
275,Wrist breadth (cm) (2 years and over),0.42002163227006917,26562.0
287,Waist Circumference (cm),0.4166891688923742,111013.0
269,Elbow breadth (cm) (2 years and over),0.4134243920883782,26567.0
253,Systolic blood pressure average,0.41259841752418247,15052.0
249,MIL: maximum inflation levels (mm Hg),0.41246935421846254,96927.0
424,"Baseline 1st Test Spirometry, Forced Expiratory Time, in seconds.",0.4122561819386876,20049.0
260,Systolic: Average blood pressure (mm Hg),0.4017937750834374,97236.0
268,Buttocks circumference (cm) (2+ years),0.3985756701105575,26316.0
254,Systolic: Blood pressure (first reading) mm Hg,0.39371131123179015,91754.0
277,Upper Arm Length (cm),0.37679507420619274,116001.0
255,Systolic: Blood pressure (second reading) mm Hg,0.3745160513718133,91099.0
256,Systolic: Blood pressure (third reading) mm Hg,0.36422958540801387,90395.0
352,Estimated Glomerular Filtration Rate (mL/min/1.73 m2),0.35110335420606054,82687.0
271,Sitting height (cm) (2 years and over),0.34780612454274096,27021.0
407,FEF at 75% of FVC (ml),0.3429485912884178,20654.0
353,Estimated Glomerular Filtration Rate race-adjusted (mL/min/1.73 m2),0.3407500946087304,82687.0
270,Standing height (in) (2 years and over),0.34017959753534943,27935.0
288,Weight (kg),0.338187136327052,120107.0
276,Arm Circumference (cm),0.332681957853482,116370.0
266,Biacromial breadth (cm)(3 years and over),0.2965481035651375,25384.0
280,Standing Height (cm),0.28610997530715554,116174.0
135,alpha-tocopherol (µg/dL),0.2806727131086839,36953.0
134,Vitamin A (ug/dL),0.2544939492563897,60499.0
233,BIA reactance (ohms) (12 years and over),0.25038762579426765,17816.0
282,Sagittal Abdominal Diameter 1st (cm),0.24958126815219828,20996.0
264,Average Sagittal Abdominal Diameter (cm),0.24934170902608344,20996.0
283,Sagittal Abdominal Diameter 2nd (cm),0.24899685778371028,20996.0
259,Blood Pressure Time in Seconds,0.24324973324199695,72894.0
289,Bone alkaline phosphotase (ug/L),0.24044350101054401,18841.0
284,Subscapular Skinfold (mm),0.23931821927266161,74059.0
413,Max mid-expiratory flow(ml/sec best crv),0.23608299846129122,20654.0
278,Body Mass Index (kg/m**2),0.23528241298880792,115629.0
365,Serum homocysteine: SI (umol/L),0.2158644930576855,37144.0
320,Mean cell volume (fL),0.21076458616036964,109362.0
262,Serum Blood Urea Nitrogen: SI (mmol/L),0.20321107579552788,82771.0
263,Serum blood urea nitrogen (mg/dL),0.20320460208484892,82771.0
447,N-telopeptides (NTx) (nmol BCE),0.18520551829303378,11675.0
406,"Expiratory time trial, largest FVC (sec)",0.17709462631636919,20864.0
307,Granulocyte percent (Coulter),0.16138384995090305,26032.0
317,Lymphocyte percent (Coulter) (%),0.16113760819835465,109182.0
344,Serum ferritin (ng/mL),0.15567361491238985,63796.0
343,Serum ferritin:  SI (ug/L),0.15567361491238985,63796.0
272,Suprailiac skinfold (mm) (2+ years),0.15156551880078495,25542.0
319,Mean cell hemoglobin (pg),0.14357083289669992,109361.0
332,Platelet count,0.1417648157551663,26426.0
323,Segmented neutrophils percent (%),0.1382893221215169,91272.0
385,Two hour oral glucose tolerance (OGTT) (mg/dL),0.1334099441294555,13842.0
246,Diastolic: Blood pressure (first reading) mm Hg,0.12545811846173127,91725.0
354,Glycohemoglobin (%),0.12287893027165309,88428.0
236,Cuff size (cm),0.12137346478336342,97108.0
324,Platelet count: SI (1000 cells/uL),0.12024483689829835,109352.0
247,Diastolic: Blood pressure (second reading) mm Hg,0.11786037927011361,91072.0
417,{Have you/Has SP} ever had open chest or abdominal surgery?,0.11633306596714788,21613.0
227,Serum apolipoprotein B: SI (g/L),0.11268661849628991,29942.0
228,Serum apolipoprotein B (mg/dL),0.1126866184962898,29942.0
6,Urinary cadmium (ng/mL),0.10951257351142751,48926.0
295,Serum total cholesterol:  SI (mmol/L),0.10853194940599065,82692.0
297,Serum total cholesterol:  SI (mmol/L),0.10853194940599065,82692.0
301,Serum total cholesterol (mg/dL),0.108433360110476,82683.0
299,Serum total cholesterol (mg/dL),0.108433360110476,82683.0
340,Serum cytomegalovirus specific IgG results,0.10649324484020051,37158.0
248,Diastolic: Blood pressure (third reading) mm Hg,0.10526508493766484,90361.0
390,Serum phosphorus (mg/dL),0.1041083378159694,82767.0
389,Serum phosphorus: SI (mmol/L),0.10410002636798199,82767.0
274,Waist to hip ratio,0.1000576978991693,26263.0
409,"FEV1 at 1.0 seconds, largest value (ml)",0.09979639750643365,20910.0
387,Serum osmolality:  SI (mmol/Kg),0.09715774530909516,78078.0
5,Blood cadmium (ug/L),0.0958224262528613,76389.0
285,Thigh Circumference (cm),0.09559711789393688,55704.0
286,Triceps Skinfold (mm),0.09170407643614475,79204.0
416,{Have you/Has SURVEY PARTICIPANT} ever had eye surgery? [Do not include cosmetic surgery on the eyelid or skin around the eye],0.09052928899344326,21718.0
393,Plasma glucose: SI (mmol/L),0.090287005792687,25545.0
376,Serum rubella antibody (IU),0.0897754670902674,37342.0
308,Hemoglobin:  SI (g/L),0.08450696363301469,26435.0
261,Diastolic: Average blood pressure (mm Hg),0.08329646829359516,75242.0
363,High-Sensitivity C-Reactive Protein (hs-CRP) Comment Code,0.08251476655852763,15117.0
392,Plasma fasting glucose (mg/dL),0.08229759371474821,47237.0
219,Serum alkaline phosphatase:   SI (U/L),0.08195405498485342,82768.0
398,Serum C-peptide (pmol/mL),0.07978536370648237,16025.0
293,Serum LDL cholesterol (mg/dL),0.07697624671779468,39293.0
294,Serum LDL cholesterol:  SI (mmol/L),0.07683030208719599,39384.0
399,Serum C-peptide: SI (nmol/L),0.0755112575559963,25322.0
377,Serum rubella antibody (IgG),0.07392842894773899,26717.0
336,Platelet distribution width (%),0.07354958829864222,26274.0
423,"Baseline 1st Test Spirometry, Forced Expiratory Flow Rate 25-75%, in mL/s.",0.07243639078900577,20050.0
395,Serum glucose (mg/dL),0.07080625279589836,82765.0
372,Serum Total Iron Binding Capacity (TIBC) (ug/dL),0.07005968851698574,54381.0
369,Serum Total Iron Binding Capacity (TIBC) (umol/L),0.0700002491980648,54381.0
408,"Forced expiratory vol(FEV),.5 sec,max-ml",0.06997968211842387,20654.0
338,Serum creatinine (mg/dL),0.06976681830264986,82774.0
215,Serum albumin:  SI (g/L),0.06875543391441041,82779.0
216,Serum albumin (g/dL),0.06875543391441041,82779.0
273,Thigh skinfold (mm) (2 years and over),0.0681021362906592,23901.0
245,Diastolic blood pressure average,0.06510865783459097,15052.0
361,Serum Herpes Simplex Virus Type 1 (I) antibody,0.06326907748116795,46104.0
304,Ratio of Total to HDL Cholesterol (-),0.06269551943837337,98153.0
125,alpha-cryptoxanthin (ug/dL),0.06166647609053155,13750.0
397,"Total length of 'food fast', minutes",0.06000511481722881,61081.0
