,Feature,R-squared,Non-Null Values,Note
0,Biiliac breadth (cm) (2 years and over),0.4988700460354373,26379,
1,Wrist breadth (cm) (2 years and over),0.42002163227006917,26562,
2,Waist Circumference (cm),0.4166891688923742,111013,
3,Elbow breadth (cm) (2 years and over),0.4134243920883782,26567,
4,Systolic blood pressure average,0.41259841752418247,15052,
5,MIL: maximum inflation levels (mm Hg),0.41246935421846254,96927,
6,"Baseline 1st Test Spirometry, Forced Expiratory Time, in seconds.",0.4122561819386876,20049,
7,Systolic: Average blood pressure (mm Hg),0.4017937750834374,97236,
8,Buttocks circumference (cm) (2+ years),0.3985756701105575,26316,
9,Systolic: Blood pressure (first reading) mm Hg,0.39371131123179015,91754,
10,Upper Arm Length (cm),0.37679507420619274,116001,
11,Systolic: Blood pressure (second reading) mm Hg,0.3745160513718133,91099,
12,Systolic: Blood pressure (third reading) mm Hg,0.36422958540801387,90395,
13,Estimated Glomerular Filtration Rate (mL/min/1.73 m2),0.35110335420606054,82687,
14,Sitting height (cm) (2 years and over),0.34780612454274096,27021,
15,FEF at 75% of FVC (ml),0.3429485912884178,20654,
16,Estimated Glomerular Filtration Rate race-adjusted (mL/min/1.73 m2),0.3407500946087304,82687,
17,Standing height (in) (2 years and over),0.34017959753534943,27935,
18,Weight (kg),0.338187136327052,120107,
19,Arm Circumference (cm),0.332681957853482,116370,
20,Biacromial breadth (cm)(3 years and over),0.2965481035651375,25384,
21,Standing Height (cm),0.28610997530715554,116174,
22,alpha-tocopherol (µg/dL),0.2806727131086839,36953,
23,Vitamin A (ug/dL),0.2544939492563897,60499,
24,BIA reactance (ohms) (12 years and over),0.25038762579426765,17816,
25,Sagittal Abdominal Diameter 1st (cm),0.24958126815219828,20996,
26,Average Sagittal Abdominal Diameter (cm),0.24934170902608344,20996,
27,Sagittal Abdominal Diameter 2nd (cm),0.24899685778371028,20996,
28,Blood Pressure Time in Seconds,0.24324973324199695,72894,
29,Bone alkaline phosphotase (ug/L),0.24044350101054401,18841,
30,Subscapular Skinfold (mm),0.23931821927266161,74059,
31,Max mid-expiratory flow(ml/sec best crv),0.23608299846129122,20654,
32,Body Mass Index (kg/m**2),0.23528241298880792,115629,
33,Serum homocysteine: SI (umol/L),0.2158644930576855,37144,
34,Mean cell volume (fL),0.21076458616036964,109362,
35,Serum Blood Urea Nitrogen: SI (mmol/L),0.20321107579552788,82771,
36,Serum blood urea nitrogen (mg/dL),0.20320460208484892,82771,
37,N-telopeptides (NTx) (nmol BCE),0.18520551829303378,11675,
38,"Expiratory time trial, largest FVC (sec)",0.17709462631636919,20864,
39,Granulocyte percent (Coulter),0.16138384995090305,26032,
40,Lymphocyte percent (Coulter) (%),0.16113760819835465,109182,
41,Serum ferritin (ng/mL),0.15567361491238985,63796,
42,Serum ferritin:  SI (ug/L),0.15567361491238985,63796,
43,Suprailiac skinfold (mm) (2+ years),0.15156551880078495,25542,
44,Mean cell hemoglobin (pg),0.14357083289669992,109361,
45,Platelet count,0.1417648157551663,26426,
46,Segmented neutrophils percent (%),0.1382893221215169,91272,
47,Two hour oral glucose tolerance (OGTT) (mg/dL),0.1334099441294555,13842,
48,Diastolic: Blood pressure (first reading) mm Hg,0.12545811846173127,91725,
49,Glycohemoglobin (%),0.12287893027165309,88428,
50,Cuff size (cm),0.12137346478336342,97108,
51,Platelet count: SI (1000 cells/uL),0.12024483689829835,109352,
52,Diastolic: Blood pressure (second reading) mm Hg,0.11786037927011361,91072,
53,{Have you/Has SP} ever had open chest or abdominal surgery?,0.11633306596714788,21613,
54,Serum apolipoprotein B: SI (g/L),0.11268661849628991,29942,
55,Serum apolipoprotein B (mg/dL),0.1126866184962898,29942,
56,Urinary cadmium (ng/mL),0.10951257351142751,48926,
57,Serum total cholesterol:  SI (mmol/L),0.10853194940599065,82692,
58,Serum total cholesterol:  SI (mmol/L),0.10853194940599065,82692,
59,Serum total cholesterol (mg/dL),0.108433360110476,82683,
60,Serum total cholesterol (mg/dL),0.108433360110476,82683,
61,Serum cytomegalovirus specific IgG results,0.10649324484020051,37158,
62,Diastolic: Blood pressure (third reading) mm Hg,0.10526508493766484,90361,
63,Serum phosphorus (mg/dL),0.1041083378159694,82767,
64,Serum phosphorus: SI (mmol/L),0.10410002636798199,82767,
65,Waist to hip ratio,0.1000576978991693,26263,
66,"FEV1 at 1.0 seconds, largest value (ml)",0.09979639750643365,20910,
67,Serum osmolality:  SI (mmol/Kg),0.09715774530909516,78078,
68,Blood cadmium (ug/L),0.0958224262528613,76389,
69,Thigh Circumference (cm),0.09559711789393688,55704,
70,Triceps Skinfold (mm),0.09170407643614475,79204,
71,{Have you/Has SURVEY PARTICIPANT} ever had eye surgery? [Do not include cosmetic surgery on the eyelid or skin around the eye],0.09052928899344326,21718,
72,Plasma glucose: SI (mmol/L),0.090287005792687,25545,
73,Serum rubella antibody (IU),0.0897754670902674,37342,
74,Hemoglobin:  SI (g/L),0.08450696363301469,26435,
75,Diastolic: Average blood pressure (mm Hg),0.08329646829359516,75242,
76,High-Sensitivity C-Reactive Protein (hs-CRP) Comment Code,0.08251476655852763,15117,
77,Plasma fasting glucose (mg/dL),0.08229759371474821,47237,
78,Serum alkaline phosphatase:   SI (U/L),0.08195405498485342,82768,
79,Serum C-peptide (pmol/mL),0.07978536370648237,16025,
80,Serum LDL cholesterol (mg/dL),0.07697624671779468,39293,
81,Serum LDL cholesterol:  SI (mmol/L),0.07683030208719599,39384,
82,Serum C-peptide: SI (nmol/L),0.0755112575559963,25322,
83,Serum rubella antibody (IgG),0.07392842894773899,26717,
84,Platelet distribution width (%),0.07354958829864222,26274,
85,"Baseline 1st Test Spirometry, Forced Expiratory Flow Rate 25-75%, in mL/s.",0.07243639078900577,20050,
86,Serum glucose (mg/dL),0.07080625279589836,82765,
87,Serum Total Iron Binding Capacity (TIBC) (ug/dL),0.07005968851698574,54381,
88,Serum Total Iron Binding Capacity (TIBC) (umol/L),0.0700002491980648,54381,
89,"Forced expiratory vol(FEV),.5 sec,max-ml",0.06997968211842387,20654,
90,Serum creatinine (mg/dL),0.06976681830264986,82774,
91,Serum albumin:  SI (g/L),0.06875543391441041,82779,
92,Serum albumin (g/dL),0.06875543391441041,82779,
93,Thigh skinfold (mm) (2 years and over),0.0681021362906592,23901,
94,Diastolic blood pressure average,0.06510865783459097,15052,
95,Serum Herpes Simplex Virus Type 1 (I) antibody,0.06326907748116795,46104,
96,Ratio of Total to HDL Cholesterol (-),0.06269551943837337,98153,
97,alpha-cryptoxanthin (ug/dL),0.06166647609053155,13750,
98,"Total length of 'food fast', minutes",0.06000511481722881,61081,
99,Hematocrit (%),0.05763296148564789,109362,
100,"Total length of 'food fast', hours",0.05738616316675771,82148,
101,"FEV3 at 3.0 seconds, largest value (ml)",0.05611081119357497,20654,
102,Red cell distribution width:SI(fraction),0.055390098612008165,26435,
103,Methylmalonic Acid (nmol/L),0.05467795460113678,10324,
104,Serum cis-Beta carotene (ug/dL),0.05241044100366454,28474,
105,60 sec. pulse (30 sec. pulse * 2),0.05168433240003656,97208,
106,Serum total beta carotene (ug/dL),0.051150067613348615,46229,
107,Parathyroid Hormone Elecys method (pg/mL),0.04969166119706492,14690,
108,Serum helicobacter pylori antibody,0.04951841481517161,10171,
109,Lymphocyte number (Coulter) (1000 cells/uL),0.04655288523861345,109179,
110,Hemoglobin (g/dL),0.046488773633199476,109363,
111,Serum trans-Beta carotene (ug/dL),0.04488734116413584,29469,
112,"Blood mercury, total (ug/L)",0.04396576615651271,64689,
113,Serum herpes simplex virus type 2 (II) antibody,0.04383949364225326,39092,
114,Serum tetanus antibody (U/mL),0.04379219037424231,19584,
115,Methylmercury (ug/L),0.0432780471131925,25434,
116,2-Aminothiazole-4-carboxylic acid (ng/mL),0.043003842770998,11173,
117,Maximal Calf Circumference (cm),0.04174232250455623,29895,
118,Mean platelet volume:  SI (fL),0.04035316133309186,109362,
119,Red cell distribution width (%),0.038754565817188946,109363,
120,Serum trans-lycopene (ug/dL),0.03814063462202866,29340,
121,Serum uric acid (mg/dL),0.03775978056247464,82763,
122,Serum uric acid:  SI (umol/L),0.03775962854726156,82763,
123,Upper Leg Length (cm),0.03688600330908176,99174,
124,N-acetyl-S-(N-methylcarbamoyl)-L-cysteine (ng/mL),0.03630853105754939,11229,
125,Serum combined lutein/zeaxanthin (ug/dL),0.035783518482833454,52728,
126,Serum triglycerides (mg/dL),0.03560575942858191,44742,
127,Serum triglycerides (mg/dL),0.03560575942858191,44742,
128,Serum triglycerides:  SI (mmol/L),0.03555541270363938,44815,
129,Serum triglycerides:  SI (mmol/L),0.03555541270363938,44815,
130,RBC folate: SI (nmol/L),0.035262323825996256,102253,
131,RBC folate (ng/mL),0.03525652053261341,102253,
132,Pulse regular or irregular?,0.03209028962638527,89022,
133,"Molybdenum, urine (ng/mL)",0.03179135673030187,26592,
134,Ratio of LDL to HDL Cholesterol (-),0.031353724468739186,39293,
135,"FEV6 at 6.0 seconds, largest value (ml)",0.030983738826021567,20654,
136,Serum hepatitis B surface antibody (anti-HBs),0.030446867840107084,80379,
